Estacion,Latitud,Longitud,Ubicacion,Troncal,Fase,Cap_ART,Cap_BIART,Fecha,Hora,Linea,Tipo_Dia,Validaciones
(02303) Calle 85 - GATO DUMAS,4.672312786740467,-74.05964363107933,CL 85,Autopista Norte,FASE I,200.0,120.0,2026-08-09,21,(33) Zona B AutoNorte,Dia 2,33
(12003) Ricaurte,4.612680959785939,-74.09009249415548,CL 13 - KR 28,Americas,FASE II,192.0,120.0,2026-07-05,14,(39) Zona F Calle 13,Dia 2,91
(06100) Av. Rojas – UNISALESIANA,4.661944439127925,-74.10877199870127,CL 26 - KR 69 D,Calle 26,FASE III,200.0,120.0,2026-07-05,14,(11) Zona K Calle 26,Dia 2,140
(09129) Temporal Calle 22,,,,,,,,2026-07-17,13,(36) Zona A Caracas,Dia 1,293
(02204) Pepe Sierra Universidad UTEL,4.698126889760766,-74.05530879980195,CL 116,Autopista Norte,FASE I,128.0,72.0,2026-08-12,09,(33) Zona B AutoNorte,Dia 1,342
(07201) Guatoque -Veraguas,4.604034291395541,-74.0947495897,KR 27,NQS Central,FASE III,132.0,108.0,2026-07-02,20,(38) Zona E NQS Central,Dia 1,79
(04101) Minuto de Dios,4.696881601543901,-74.09193284888886,KR 73 A,Calle 80,FASE I,152.0,144.0,2026-08-26,05,(35) Zona D Calle 80,Dia 1,269
(04102) Avenida Boyaca,4.693553929576481,-74.08675371760854,TV 69 Bis,Calle 80,FASE I,160.0,144.0,2026-07-26,19,(35) Zona D Calle 80,Dia 2,535
(05105) Pradera – Plaza Central,4.628506463940081,-74.11867713273622,AV Americas - KR 64,Americas,FASE II,128.0,72.0,2026-07-06,16,(31) Zona F Av. Américas,Dia 1,1391
(02102) Calle 161,4.741915299191302,-74.04800034951191,CL 160,Autopista Norte,FASE I,96.0,0.0,2026-08-19,21,(33) Zona B AutoNorte,Dia 1,15
(07107) U. NACIONAL,4.63712104779828,-74.07932617980647,KR 30 - CL 45,NQS Central,FASE II,232.0,180.0,2026-08-28,09,(38) Zona E NQS Central,Dia 1,432
(04104) Avenida 68,4.686100882846748,-74.08076896014731,KR 68D,Calle 80,FASE I,152.0,144.0,2026-08-22,16,(35) Zona D Calle 80,Dia 1,452
(12000) Puente Aranda,4.625669742217356,-74.10463943333943,CL 13 KR 47,Americas,FASE II,120.0,48.0,2026-08-09,20,(39) Zona F Calle 13,Dia 2,8
(12002) CDS - Carrera 32,4.616136161567741,-74.09394954026446,AV Americas - KR 32,Americas,FASE II,120.0,48.0,2026-08-27,05,(39) Zona F Calle 13,Dia 1,53
