categoria,lon,lat,name
luminaria,-74.1052564,4.5993302,
luminaria,-74.1053946,4.5992527,
luminaria,-74.1055139,4.5991765,
luminaria,-74.1054442,4.5990896,
luminaria,-74.1053194,4.5990027,
luminaria,-74.1051558,4.5988904,
luminaria,-74.1049922,4.59875,
luminaria,-74.1039519,4.5980958,
luminaria,-74.1048621,4.5987781,
luminaria,-74.104728,4.5989519,
luminaria,-74.1046945,4.5990588,
luminaria,-74.1048943,4.5992019,
luminaria,-74.1050392,4.5993035,
luminaria,-74.1051545,4.599385,
luminaria,-74.0826888,4.652029,
luminaria,-74.0751582,4.6296958,
luminaria,-74.075136,4.6299291,
luminaria,-74.0751243,4.6300936,
luminaria,-74.075102,4.6303264,
luminaria,-74.0750747,4.6306895,
luminaria,-74.0750399,4.6310544,
luminaria,-74.0750219,4.6312326,
luminaria,-74.0751851,4.6292997,
luminaria,-74.0751781,4.6294435,
luminaria,-74.075169,4.6295928,
luminaria,-74.0751036,4.6304722,
luminaria,-74.075029,4.631341,
luminaria,-74.0750169,4.6316837,
luminaria,-74.0751088,4.6327142,
luminaria,-74.0751334,4.632899,
luminaria,-74.0752015,4.6330386,
luminaria,-74.0752145,4.6331696,
luminaria,-74.0752637,4.6333674,
luminaria,-74.0753231,4.6335576,
luminaria,-74.0753564,4.6336792,
luminaria,-74.0749737,4.6318817,
luminaria,-74.0750633,4.6321786,
luminaria,-74.0750893,4.6323006,
luminaria,-74.0750169,4.6323041,
luminaria,-74.0751083,4.6325082,
luminaria,-74.0751905,4.6290533,
luminaria,-74.0742549,4.625494,
luminaria,-74.0743781,4.6255594,
luminaria,-74.0745267,4.6256834,
luminaria,-74.0745733,4.6257574,
luminaria,-74.0747737,4.6260593,
luminaria,-74.0748445,4.626119,
luminaria,-74.0748761,4.6261574,
luminaria,-74.0749855,4.6263753,
luminaria,-74.0750889,4.626452,
luminaria,-74.0750959,4.6265636,
luminaria,-74.0751769,4.6267328,
luminaria,-74.075266,4.6269276,
luminaria,-74.075161,4.6271061,
luminaria,-74.075413,4.6271073,
luminaria,-74.0754187,4.6272055,
luminaria,-74.075171,4.62722,
luminaria,-74.0754171,4.6273512,
luminaria,-74.0751914,4.6273604,
luminaria,-74.0753266,4.6274067,
luminaria,-74.0753278,4.6275852,
luminaria,-74.0753164,4.6279257,
luminaria,-74.0752684,4.6283274,
luminaria,-74.0752496,4.6284962,
luminaria,-74.0752366,4.6286188,
luminaria,-74.0752049,4.6288103,
luminaria,-74.0614504,4.6493409,
luminaria,-74.0616348,4.6494479,
luminaria,-74.061646,4.6491397,
luminaria,-74.0617827,4.6491813,
luminaria,-74.0618717,4.6493632,
luminaria,-74.0614442,4.6495469,
luminaria,-74.0618333,4.6496282,
luminaria,-74.0617479,4.6496043,
luminaria,-74.061853,4.649474,
luminaria,-74.0618731,4.6498064,
luminaria,-74.0613847,4.649491,
luminaria,-74.0620958,4.6497691,
luminaria,-74.0621843,4.6497878,
luminaria,-74.0623146,4.6498122,
luminaria,-74.0624337,4.6498307,
luminaria,-74.0625025,4.6498412,
luminaria,-74.0629412,4.6498425,
luminaria,-74.0630639,4.6498679,
luminaria,-74.063196,4.6498907,
luminaria,-74.0630418,4.6499486,
luminaria,-74.0627219,4.6500963,
luminaria,-74.0626817,4.6501732,
luminaria,-74.0615293,4.6494442,
luminaria,-74.0617391,4.6495585,
luminaria,-74.0618303,4.6495712,
luminaria,-74.0618939,4.6497102,
luminaria,-74.0617524,4.6497196,
luminaria,-74.0618255,4.6491759,
luminaria,-74.0619488,4.6491986,
luminaria,-74.0620555,4.6492313,
luminaria,-74.0624477,4.6492948,
luminaria,-74.0627959,4.6493748,
luminaria,-74.0628656,4.6493948,
luminaria,-74.0629461,4.6494135,
