fecha,temp,rhum,prcp,wspd,wpgt,wdir,pres,cldc,coco
2026-07-01 00:00:00-05:00,12.0,88,0.0,6.0,,60,1027.0,2,3
2026-07-01 01:00:00-05:00,11.0,94,0.0,5.0,,50,1027.0,4,3
2026-07-01 02:00:00-05:00,12.0,94,,8.0,,50,1026.0,2,3
2026-07-01 03:00:00-05:00,12.0,94,,7.0,,60,1026.0,2,3
2026-07-01 04:00:00-05:00,12.0,94,,7.0,,60,1025.0,2,3
2026-07-01 05:00:00-05:00,12.0,94,,6.0,,50,1025.0,2,3
2026-07-01 06:00:00-05:00,13.0,82,,5.0,,90,1025.0,2,3
2026-07-01 07:00:00-05:00,14.0,82,,4.0,,100,1026.0,6,3
2026-07-01 08:00:00-05:00,15.0,77,0.0,7.0,,110,1026.0,6,3
2026-07-01 09:00:00-05:00,16.0,68,0.0,9.0,,120,1027.0,6,3
2026-07-01 10:00:00-05:00,17.0,63,0.0,6.0,,160,1027.0,6,3
2026-07-01 11:00:00-05:00,18.0,64,0.0,9.0,,160,1027.0,6,3
2026-07-01 12:00:00-05:00,18.0,64,0.0,9.0,,150,1026.0,6,3
2026-07-01 13:00:00-05:00,19.0,56,0.0,8.0,,140,1026.0,4,3
2026-07-01 14:00:00-05:00,20.0,53,0.0,9.0,19.0,110,1025.0,6,3
2026-07-01 15:00:00-05:00,20.0,49,0.0,10.0,,120,1025.0,4,3
2026-07-01 16:00:00-05:00,20.0,49,0.0,10.0,,110,1024.0,6,3
2026-07-01 17:00:00-05:00,18.0,56,0.0,9.0,,120,1024.0,4,3
2026-07-01 18:00:00-05:00,17.0,55,0.0,6.0,,110,1024.0,4,3
2026-07-01 19:00:00-05:00,16.0,63,0.0,5.0,,80,1025.0,2,2
2026-07-01 20:00:00-05:00,15.0,67,0.0,5.0,,100,1026.0,2,2
2026-07-01 21:00:00-05:00,13.0,77,0.0,5.0,,60,1027.0,2,2
2026-07-01 22:00:00-05:00,11.0,94,0.0,4.0,,330,1028.0,4,2
2026-07-01 23:00:00-05:00,11.0,94,0.0,3.0,,350,1028.0,2,2
2026-07-02 00:00:00-05:00,11.0,94,0.0,5.0,,50,1027.0,4,2
2026-07-02 01:00:00-05:00,11.0,94,0.0,3.0,,20,1027.0,4,3
2026-07-02 02:00:00-05:00,11.0,94,,2.0,,41,1026.0,4,3
2026-07-02 03:00:00-05:00,10.0,100,,2.0,,47,1026.0,2,3
2026-07-02 04:00:00-05:00,10.0,100,,3.0,,20,1026.0,2,3
2026-07-02 05:00:00-05:00,9.0,100,,2.0,,340,1026.0,2,5
2026-07-02 06:00:00-05:00,6.0,100,,2.0,,65,1026.0,2,5
2026-07-02 07:00:00-05:00,10.0,100,,1.0,,71,1026.0,2,3
2026-07-02 08:00:00-05:00,15.0,72,0.0,3.0,,108,1027.0,6,3
2026-07-02 09:00:00-05:00,15.0,72,0.0,3.0,,129,1028.0,6,3
2026-07-02 10:00:00-05:00,17.0,68,0.0,10.0,,150,1028.0,6,3
2026-07-02 11:00:00-05:00,16.0,72,0.0,6.0,,160,1028.0,4,7
2026-07-02 12:00:00-05:00,16.0,82,0.0,6.0,,50,1027.0,4,7
2026-07-02 13:00:00-05:00,17.0,77,0.0,5.0,,70,1027.0,4,7
2026-07-02 14:00:00-05:00,18.0,64,0.0,7.0,,100,1026.0,4,3
2026-07-02 15:00:00-05:00,18.0,68,0.0,8.0,,120,1026.0,2,3
2026-07-02 16:00:00-05:00,17.0,63,0.0,7.0,,110,1026.0,2,3
2026-07-02 17:00:00-05:00,16.0,68,0.0,7.0,,110,1026.0,4,4
2026-07-02 18:00:00-05:00,16.0,72,0.0,6.0,,100,1026.0,2,4
2026-07-02 19:00:00-05:00,15.0,72,0.0,5.0,,120,1026.0,2,3
2026-07-02 20:00:00-05:00,14.0,82,0.0,7.0,,40,1027.0,2,3
2026-07-02 21:00:00-05:00,14.0,77,0.0,4.0,,80,1027.0,2,3
2026-07-02 22:00:00-05:00,13.0,82,0.0,4.0,,80,1028.0,2,3
2026-07-02 23:00:00-05:00,13.0,82,0.0,3.0,,70,1029.0,6,3
2026-07-03 00:00:00-05:00,13.0,82,0.0,3.0,,80,1028.0,6,3
2026-07-03 01:00:00-05:00,12.0,94,0.0,5.0,,30,1028.0,6,3
2026-07-03 02:00:00-05:00,12.0,94,,3.0,,60,1027.0,4,3
2026-07-03 03:00:00-05:00,11.0,100,,2.0,,69,1027.0,2,3
2026-07-03 04:00:00-05:00,12.0,94,,2.0,,60,1026.0,2,18
2026-07-03 05:00:00-05:00,13.0,88,,3.0,,100,1027.0,2,18
2026-07-03 06:00:00-05:00,12.0,94,,3.0,,10,1027.0,2,18
2026-07-03 07:00:00-05:00,12.0,94,,4.0,,30,1028.0,2,18
2026-07-03 08:00:00-05:00,14.0,88,1.0,2.0,,160,1028.0,4,18
2026-07-03 09:00:00-05:00,17.0,68,1.1,10.0,,150,1028.0,2,18
2026-07-03 10:00:00-05:00,16.0,77,1.7,9.0,,170,1029.0,2,8
2026-07-03 11:00:00-05:00,15.0,88,1.3,13.0,,150,1029.0,2,8
2026-07-03 12:00:00-05:00,17.0,77,1.3,11.0,,140,1028.0,2,18
2026-07-03 13:00:00-05:00,19.0,64,1.2,15.0,,150,1027.0,4,18
2026-07-03 14:00:00-05:00,18.0,68,0.0,16.0,,170,1027.0,4,18
2026-07-03 15:00:00-05:00,17.0,68,0.0,19.0,,160,1026.0,4,8
2026-07-03 16:00:00-05:00,17.0,68,0.0,14.0,,170,1026.0,4,8
2026-07-03 17:00:00-05:00,16.0,72,0.0,7.0,,180,1026.0,2,2
2026-07-03 18:00:00-05:00,16.0,68,0.0,9.0,,150,1026.0,4,3
2026-07-03 19:00:00-05:00,15.0,72,0.0,4.0,,110,1027.0,2,3
2026-07-03 20:00:00-05:00,14.0,82,0.0,6.0,,100,1028.0,2,3
2026-07-03 21:00:00-05:00,14.0,77,0.0,5.0,,110,1029.0,2,3
2026-07-03 22:00:00-05:00,13.0,82,0.0,4.0,,90,1029.0,2,3
2026-07-03 23:00:00-05:00,13.0,82,0.0,3.0,,100,1029.0,2,3
2026-07-04 00:00:00-05:00,10.0,100,0.0,4.0,,10,1029.0,2,3
2026-07-04 01:00:00-05:00,10.0,100,0.0,6.0,,10,1029.0,2,3
2026-07-04 02:00:00-05:00,11.0,94,,4.0,,20,1028.0,2,3
2026-07-04 03:00:00-05:00,11.0,94,,2.0,,55,1028.0,2,3
2026-07-04 04:00:00-05:00,10.0,100,,2.0,,60,1028.0,2,3
2026-07-04 05:00:00-05:00,10.0,100,,1.0,,52,1028.0,2,7
2026-07-04 06:00:00-05:00,10.0,100,,2.0,,52,1028.0,2,7
2026-07-04 07:00:00-05:00,11.0,100,,1.0,,53,1028.0,2,7
2026-07-04 08:00:00-05:00,13.0,94,0.5,5.0,,40,1029.0,2,7
2026-07-04 09:00:00-05:00,14.0,82,0.5,2.0,,100,1030.0,2,7
2026-07-04 10:00:00-05:00,16.0,77,0.6,4.0,,119,1030.0,4,7
2026-07-04 11:00:00-05:00,17.0,68,0.5,10.0,,130,1030.0,4,7
2026-07-04 12:00:00-05:00,17.0,72,0.6,7.0,,160,1029.0,2,7
