Estacion,Latitud,Longitud,Ubicacion,Troncal,Fase,Cap_ART,Cap_BIART,num_est,Frecuencia,Headway_Min,N_Rutas,Fecha,Hora,Linea,Tipo_Dia,Validaciones
(02000) Portal Norte - Unicervantes,4.754622860218019,-74.04604464924742,CL 173,Autopista Norte,FASE I,132.0,78.0,2000,93.0,0.65,16.0,2026-07-01,4,(33) Zona B AutoNorte,Dia 1,507
(02000) Portal Norte - Unicervantes,4.754622860218019,-74.04604464924742,CL 173,Autopista Norte,FASE I,132.0,78.0,2000,314.0,0.19,28.0,2026-07-01,5,(33) Zona B AutoNorte,Dia 1,3976
(02000) Portal Norte - Unicervantes,4.754622860218019,-74.04604464924742,CL 173,Autopista Norte,FASE I,132.0,78.0,2000,391.0,0.15,31.0,2026-07-01,6,(33) Zona B AutoNorte,Dia 1,8280
(02000) Portal Norte - Unicervantes,4.754622860218019,-74.04604464924742,CL 173,Autopista Norte,FASE I,132.0,78.0,2000,439.0,0.14,31.0,2026-07-01,7,(33) Zona B AutoNorte,Dia 1,8980
(02000) Portal Norte - Unicervantes,4.754622860218019,-74.04604464924742,CL 173,Autopista Norte,FASE I,132.0,78.0,2000,446.0,0.13,30.0,2026-07-01,8,(33) Zona B AutoNorte,Dia 1,5727
(02000) Portal Norte - Unicervantes,4.754622860218019,-74.04604464924742,CL 173,Autopista Norte,FASE I,132.0,78.0,2000,329.0,0.18,30.0,2026-07-01,9,(33) Zona B AutoNorte,Dia 1,3986
(02000) Portal Norte - Unicervantes,4.754622860218019,-74.04604464924742,CL 173,Autopista Norte,FASE I,132.0,78.0,2000,255.0,0.24,24.0,2026-07-01,10,(33) Zona B AutoNorte,Dia 1,3147
(02000) Portal Norte - Unicervantes,4.754622860218019,-74.04604464924742,CL 173,Autopista Norte,FASE I,132.0,78.0,2000,231.0,0.26,22.0,2026-07-01,11,(33) Zona B AutoNorte,Dia 1,3073
(02000) Portal Norte - Unicervantes,4.754622860218019,-74.04604464924742,CL 173,Autopista Norte,FASE I,132.0,78.0,2000,236.0,0.25,22.0,2026-07-01,12,(33) Zona B AutoNorte,Dia 1,2554
(02000) Portal Norte - Unicervantes,4.754622860218019,-74.04604464924742,CL 173,Autopista Norte,FASE I,132.0,78.0,2000,234.0,0.26,22.0,2026-07-01,13,(33) Zona B AutoNorte,Dia 1,2551
(02000) Portal Norte - Unicervantes,4.754622860218019,-74.04604464924742,CL 173,Autopista Norte,FASE I,132.0,78.0,2000,229.0,0.26,22.0,2026-07-01,14,(33) Zona B AutoNorte,Dia 1,2163
(02000) Portal Norte - Unicervantes,4.754622860218019,-74.04604464924742,CL 173,Autopista Norte,FASE I,132.0,78.0,2000,257.0,0.23,24.0,2026-07-01,15,(33) Zona B AutoNorte,Dia 1,2930
(02000) Portal Norte - Unicervantes,4.754622860218019,-74.04604464924742,CL 173,Autopista Norte,FASE I,132.0,78.0,2000,335.0,0.18,26.0,2026-07-01,16,(33) Zona B AutoNorte,Dia 1,4215
(02000) Portal Norte - Unicervantes,4.754622860218019,-74.04604464924742,CL 173,Autopista Norte,FASE I,132.0,78.0,2000,382.0,0.16,28.0,2026-07-01,17,(33) Zona B AutoNorte,Dia 1,4253
(02000) Portal Norte - Unicervantes,4.754622860218019,-74.04604464924742,CL 173,Autopista Norte,FASE I,132.0,78.0,2000,394.0,0.15,27.0,2026-07-01,18,(33) Zona B AutoNorte,Dia 1,2927
(02000) Portal Norte - Unicervantes,4.754622860218019,-74.04604464924742,CL 173,Autopista Norte,FASE I,132.0,78.0,2000,374.0,0.16,28.0,2026-07-01,19,(33) Zona B AutoNorte,Dia 1,1828
(02000) Portal Norte - Unicervantes,4.754622860218019,-74.04604464924742,CL 173,Autopista Norte,FASE I,132.0,78.0,2000,281.0,0.21,28.0,2026-07-01,20,(33) Zona B AutoNorte,Dia 1,586
