num_est,Estacion,Latitud,Longitud,Troncal,poi_500m_comercio,poi_500m_comisaria,poi_500m_hospital,poi_500m_luminaria,poi_500m_negocio,total_pois_500m,ratio_seguridad_comercio
2000,(02000) Portal Norte - Unicervantes,4.754622860218019,-74.04604464924742,Autopista Norte,107,1,0,0,43,151,0.018518518518518517
2001,(02001) Centro Comercial Santa Fe,4.762808125248429,-74.04452767198975,Autopista Norte,69,1,0,35,31,136,0.02857142857142857
2101,(02101) Toberin,4.746184978881875,-74.04725484779414,Autopista Norte,171,0,2,0,69,242,0.005813953488372093
2102,(02102) Calle 161,4.741915299191302,-74.04800034951191,Autopista Norte,103,0,0,0,26,129,0.009615384615384616
2103,(02103) Mazurén,4.734588554219222,-74.04922623638949,Autopista Norte,41,0,2,0,26,69,0.023809523809523808
2104,(02104) Calle 146,4.730891064158206,-74.04981122855385,Autopista Norte,72,0,3,0,50,125,0.0136986301369863
2105,(02105) Calle 142,4.726850089637862,-74.05050333189976,Autopista Norte,101,0,4,0,40,145,0.00980392156862745
2200,(02200) Alcalá – Colegio S. Tomás Dominicos,4.721158197762578,-74.05145916301784,Autopista Norte,153,0,2,0,44,199,0.006493506493506494
2201,(02201) Prado,4.714558425952716,-74.0525582922202,Autopista Norte,107,0,0,40,35,182,0.009259259259259259
2202,(02202) Calle 127,4.704639636465494,-74.0542251639966,Autopista Norte,25,0,6,52,30,113,0.038461538461538464
2204,(02204) Pepe Sierra Universidad UTEL,4.698126889760766,-74.05530879980195,Autopista Norte,19,1,3,0,30,53,0.1
2205,(02205) Calle 106 - Explora Maletas,4.692982600439019,-74.05618243307303,Autopista Norte,18,1,15,0,21,55,0.10526315789473684
2300,(02300) Calle 100 - Marketmedios,4.683949437564952,-74.05771229681588,Autopista Norte,38,2,11,0,51,102,0.07692307692307693
2302,(02302) Virrey,4.675997370862644,-74.05901951709693,Autopista Norte,68,2,18,0,44,132,0.043478260869565216
2302,(02302) Virrey - Cendiatra,4.675997370862644,-74.05901951709693,Autopista Norte,68,2,18,0,44,132,0.043478260869565216
2303,(02303) Calle 85 - GATO DUMAS,4.672312786740467,-74.05964363107933,Autopista Norte,58,1,13,0,44,116,0.03389830508474576
2304,(02304) Heroes - Gel hada,4.668136029647685,-74.06030995135728,Autopista Norte,156,0,14,0,100,270,0.006369426751592357
2305,(02305) Bicicletero Portal Norte,4.755476318825073,-74.0458863256048,0,115,1,0,0,42,158,0.017241379310344827
2502,(02502) Terminal,4.768253143203189,-74.04366242900103,Autopista Norte,5,0,0,0,2,7,0.16666666666666666
3000,(03000) Portal Suba,4.746815071110087,-74.09427890362022,Suba,71,0,1,0,66,138,0.013888888888888888
3001,(03001) LA CAMPIÑA,4.742916929058509,-74.0915060498986,Suba,39,0,2,0,13,54,0.025
3002,(03002) SUBA - TV- 91,4.739408717712319,-74.08746339298014,Suba,59,1,2,0,24,86,0.03333333333333333
3003,(03003) 21 ANGELES,4.73550811160933,-74.08098652277597,Suba,37,0,0,6,12,55,0.02631578947368421
3004,(03004) GRATAMIRA,4.727455840781251,-74.07472333854827,Suba,8,0,0,0,9,17,0.1111111111111111
3005,(03005) SUBA - AV. BOYACA,4.721267158257204,-74.0747116339291,Suba,67,0,1,0,30,98,0.014705882352941176
3006,(03006) NIZA - CALLE 127,4.712001231323956,-74.07230719784444,Suba,57,0,0,8,42,107,0.017241379310344827
3007,(03007) HUMEDAL CORDOBA,4.706689822528658,-74.07117426613561,Suba,29,0,0,0,10,39,0.03333333333333333
3009,(03009) Av. Suba- Calle 116,4.699241108397645,-74.06984394178146,Suba,28,0,3,0,30,61,0.034482758620689655
3010,(03010) PUENTE LARGO,4.693400771058854,-74.06720873995816,Suba,37,1,3,0,36,77,0.05263157894736842
3011,(03011) SUBA - CALLE 100,4.686664075105651,-74.06430481905278,Suba,256,0,4,0,85,345,0.0038910505836575876
3012,(03012) SUBA - CALLE 95,4.684694637263692,-74.06321827093115,Suba,305,1,4,0,101,411,0.006535947712418301
3013,(03013) RIO NEGRO,4.680351057056148,-74.06481662477188,Suba,182,0,1,0,45,228,0.00546448087431694
3014,(03014) SAN MARTIN,4.676389657040512,-74.06717673781442,Suba,26,0,1,0,11,38,0.037037037037037035
4000,(04000) Cabecera Calle 80,4.709829487984559,-74.11050626882579,Calle 80,27,0,2,0,12,41,0.03571428571428571
4001,(04001) Quirigua,4.706725245152247,-74.10873932323864,Calle 80,187,1,3,0,62,253,0.010638297872340425
4002,(04002) Carrera 90,4.70487199855203,-74.1050502345663,Calle 80,205,1,3,0,73,282,0.009708737864077669
4003,(04003) Avenida Ciudad de Cali,4.702211226918516,-74.09993048407954,Calle 80,160,0,2,0,51,213,0.006211180124223602
4004,(04004) La Granja,4.699811786531105,-74.09701717051567,0,131,0,1,0,40,172,0.007575757575757576
4100,(04100) Carrera 77,4.699150963155722,-74.09601773277603,Calle 80,120,0,0,0,43,163,0.008264462809917356
4101,(04101) Minuto de Dios,4.696881601543901,-74.09193284888886,Calle 80,63,0,3,0,33,99,0.015625
4102,(04102) Avenida Boyaca,4.693553929576481,-74.08675371760854,Calle 80,42,0,0,0,10,52,0.023255813953488372
4103,(04103) Las Ferias,4.690885926692645,-74.0846012702891,Calle 80,57,0,0,0,22,79,0.017241379310344827
4104,(04104) Avenida 68,4.686100882846748,-74.08076896014731,Calle 80,54,0,0,0,33,87,0.01818181818181818
4105,(04105) Carrera 53,4.681804753883138,-74.07742142136232,Calle 80,20,0,0,0,13,33,0.047619047619047616
4106,(04106) Carrera 47,4.677755746127176,-74.07325476094951,Calle 80,27,0,0,0,14,41,0.03571428571428571
4107,(04107) Escuela Militar,4.675535012017993,-74.06980215105027,Calle 80,77,0,0,0,23,100,0.01282051282051282
4108,(04108) Polo –  FINCOMERCIO,4.670162650409122,-74.06433866057165,Calle 80,185,0,3,0,52,240,0.005376344086021506
5000,(05000) Portal Américas,4.629381310202615,-74.17305846411314,Americas,20,0,0,0,7,27,0.047619047619047616
5001,(05001) Patio Bonito,4.633180282913106,-74.16461426660447,Americas,44,0,1,0,19,64,0.022222222222222223
5002,(05002) Tintal,4.638263789456411,-74.15895645390489,Americas,57,1,0,0,27,85,0.034482758620689655
5005,(05005) Transversal 86,4.634194653572966,-74.15206783620962,Americas,16,1,0,0,11,28,0.11764705882352941
5100,(05100) Banderas P. Central,4.631294536922991,-74.1457699625961,Americas,18,0,0,0,9,27,0.05263157894736842
5101,(05101) Mandalay - Cr.73,4.630863657469235,-74.14129817180734,Americas,19,0,1,0,21,41,0.05
5102,(05102) Av. Américas - Av. Boyacá,4.630117798427176,-74.13422457070207,Americas,67,0,4,0,17,88,0.014705882352941176
5103,(05103) Marsella,4.629677230521839,-74.13016384632475,Americas,71,0,2,0,22,95,0.013888888888888888
5105,(05105) Pradera – Plaza Central,4.628506463940081,-74.11867713273622,Americas,76,0,2,0,20,98,0.012987012987012988
5107,(05107) Américas - Cr.53,4.627850045092682,-74.11158410680022,Americas,110,1,0,0,19,130,0.018018018018018018
6000,(06000) Portal El Dorado - C.C. NUESTRO BOGOTA,4.681622028944145,-74.1213980169888,Calle 26,8,0,1,0,15,24,0.1111111111111111
6001,(06001) Modelia,4.675024658729783,-74.11714710072533,Calle 26,14,1,0,0,12,27,0.13333333333333333
6002,(06002) Normandía,4.669008681376298,-74.11328003037636,Calle 26,33,1,1,0,20,55,0.058823529411764705
6100,(06100) Av. Rojas – UNISALESIANA,4.661944439127925,-74.10877199870127,Calle 26,9,0,0,0,22,31,0.1
6101,(06101) El Tiempo - Camara de Comercio de Bogota,4.6570670471491,-74.10564665978902,Calle 26,11,1,0,0,28,40,0.16666666666666666
6102,(06102) Salitre El Greco - Vive Claro,4.650982052341222,-74.10171935493257,Calle 26,22,1,1,0,23,47,0.08695652173913043
6103,(06103) CAN - British Council,4.646876393808474,-74.09904645134877,Calle 26,26,1,3,0,32,62,0.07407407407407407
6104,(06104) Gobernación,4.643012751042416,-74.09665220938193,Calle 26,0,1,0,0,11,12,2.0
6105,(06105) Quinta Paredes,4.637503527999294,-74.09313226319551,Calle 26,12,0,1,0,12,25,0.07692307692307693
6106,(06106) Corferias,4.634395531732532,-74.08994044210418,Calle 26,15,0,2,0,39,56,0.0625
6107,(06107) Ciudad Universitaria - Loteria de Bogota,4.630875429616791,-74.08352723499065,Calle 26,65,0,3,0,98,166,0.015151515151515152
6108,(06108) Concejo de Bogotá,4.625987365683597,-74.08028965895312,Calle 26,64,0,5,2,74,145,0.015384615384615385
6109,(06109) Centro Memoria,4.620464994750269,-74.07632059291059,Calle 26,177,1,5,0,100,283,0.011235955056179775
6111,(06111) Universidades – CityU,4.604646225337709,-74.0673158462673,Calle 26,108,1,3,0,147,259,0.01834862385321101
7000,(07000) Portal Sur JFK Coop. Financiera,4.596939945160861,-74.16929783953442,NQS Sur,5,0,0,0,4,9,0.16666666666666666
7001,(07001) PERDOMO,4.595787784538717,-74.1649697299199,NQS Sur,4,0,0,0,4,8,0.2
7002,(07002) MADELENA,4.596280940258974,-74.15688105483866,NQS Sur,36,0,0,0,29,65,0.02702702702702703
