osm_type,id,categoria,lat,lon,name,sin_nombre
node,3419055838,luminaria,4.5993302,-74.1052564,Sin registro,True
node,3419055839,luminaria,4.5992527,-74.1053946,Sin registro,True
node,3419055840,luminaria,4.5991765,-74.1055139,Sin registro,True
node,3419055841,luminaria,4.5990896,-74.1054442,Sin registro,True
node,3419055842,luminaria,4.5990027,-74.1053194,Sin registro,True
node,3419055843,luminaria,4.5988904,-74.1051558,Sin registro,True
node,3419055844,luminaria,4.59875,-74.1049922,Sin registro,True
node,3419055845,luminaria,4.5980958,-74.1039519,Sin registro,True
node,3419055846,luminaria,4.5987781,-74.1048621,Sin registro,True
node,3419055847,luminaria,4.5989519,-74.104728,Sin registro,True
node,3419055848,luminaria,4.5990588,-74.1046945,Sin registro,True
node,3419055849,luminaria,4.5992019,-74.1048943,Sin registro,True
node,3419055850,luminaria,4.5993035,-74.1050392,Sin registro,True
node,3419055851,luminaria,4.599385,-74.1051545,Sin registro,True
node,3908777048,luminaria,4.652029,-74.0826888,Sin registro,True
node,3952989613,luminaria,4.6296958,-74.0751582,Sin registro,True
node,3952989618,luminaria,4.6299291,-74.075136,Sin registro,True
node,3952989621,luminaria,4.6300936,-74.0751243,Sin registro,True
node,3952989638,luminaria,4.6303264,-74.075102,Sin registro,True
node,3952989651,luminaria,4.6306895,-74.0750747,Sin registro,True
node,3952989773,luminaria,4.6310544,-74.0750399,Sin registro,True
node,3952989779,luminaria,4.6312326,-74.0750219,Sin registro,True
node,3977406799,luminaria,4.6292997,-74.0751851,Sin registro,True
node,3977406800,luminaria,4.6294435,-74.0751781,Sin registro,True
node,3977406809,luminaria,4.6295928,-74.075169,Sin registro,True
node,3977979740,luminaria,4.6304722,-74.0751036,Sin registro,True
node,3977981562,luminaria,4.631341,-74.075029,Sin registro,True
node,3978106073,luminaria,4.6316837,-74.0750169,Sin registro,True
node,3978585397,luminaria,4.6327142,-74.0751088,Sin registro,True
node,3978585431,luminaria,4.632899,-74.0751334,Sin registro,True
node,3978585433,luminaria,4.6330386,-74.0752015,Sin registro,True
node,3978585439,luminaria,4.6331696,-74.0752145,Sin registro,True
node,3978585447,luminaria,4.6333674,-74.0752637,Sin registro,True
node,3978593163,luminaria,4.6335576,-74.0753231,Sin registro,True
node,3978593179,luminaria,4.6336792,-74.0753564,Sin registro,True
node,3978681334,luminaria,4.6318817,-74.0749737,Sin registro,True
node,3978681341,luminaria,4.6321786,-74.0750633,Sin registro,True
node,3978681348,luminaria,4.6323006,-74.0750893,Sin registro,True
node,3978681351,luminaria,4.6323041,-74.0750169,Sin registro,True
node,3978684466,luminaria,4.6325082,-74.0751083,Sin registro,True
node,3978836096,luminaria,4.6290533,-74.0751905,Sin registro,True
node,4004531942,luminaria,4.625494,-74.0742549,Sin registro,True
node,4004531943,luminaria,4.6255594,-74.0743781,Sin registro,True
node,4004531944,luminaria,4.6256834,-74.0745267,Sin registro,True
node,4004531945,luminaria,4.6257574,-74.0745733,Sin registro,True
node,4004531946,luminaria,4.6260593,-74.0747737,Sin registro,True
node,4004531947,luminaria,4.626119,-74.0748445,Sin registro,True
node,4004531948,luminaria,4.6261574,-74.0748761,Sin registro,True
node,4004531949,luminaria,4.6263753,-74.0749855,Sin registro,True
node,4004531950,luminaria,4.626452,-74.0750889,Sin registro,True
node,4004531951,luminaria,4.6265636,-74.0750959,Sin registro,True
node,4004531952,luminaria,4.6267328,-74.0751769,Sin registro,True
node,4004531953,luminaria,4.6269276,-74.075266,Sin registro,True
node,4004531954,luminaria,4.6271061,-74.075161,Sin registro,True
node,4004531955,luminaria,4.6271073,-74.075413,Sin registro,True
node,4004531956,luminaria,4.6272055,-74.0754187,Sin registro,True
node,4004531957,luminaria,4.62722,-74.075171,Sin registro,True
node,4004531958,luminaria,4.6273512,-74.0754171,Sin registro,True
node,4004531959,luminaria,4.6273604,-74.0751914,Sin registro,True
node,4004531960,luminaria,4.6274067,-74.0753266,Sin registro,True
node,4004531961,luminaria,4.6275852,-74.0753278,Sin registro,True
node,4004531962,luminaria,4.6279257,-74.0753164,Sin registro,True
node,4004531964,luminaria,4.6283274,-74.0752684,Sin registro,True
node,4004531965,luminaria,4.6284962,-74.0752496,Sin registro,True
node,4004531966,luminaria,4.6286188,-74.0752366,Sin registro,True
node,4004531967,luminaria,4.6288103,-74.0752049,Sin registro,True
node,4056986594,luminaria,4.6493409,-74.0614504,Sin registro,True
node,4056986595,luminaria,4.6494479,-74.0616348,Sin registro,True
node,4056986596,luminaria,4.6491397,-74.061646,Sin registro,True
node,4056986597,luminaria,4.6491813,-74.0617827,Sin registro,True
node,4056986598,luminaria,4.6493632,-74.0618717,Sin registro,True
node,4056986599,luminaria,4.6495469,-74.0614442,Sin registro,True
node,4056986600,luminaria,4.6496282,-74.0618333,Sin registro,True
node,4056986601,luminaria,4.6496043,-74.0617479,Sin registro,True
node,4056986602,luminaria,4.649474,-74.061853,Sin registro,True
node,4056986603,luminaria,4.6498064,-74.0618731,Sin registro,True
